process,container_n,container_median_min,container_p90_min,container_max_min,module_n,module_median_min,module_p90_min,module_max_min,container_vs_module_ratio,container_percent_faster
BACKFILL_ABINITIO_PARAMS,0,,,,495,0.025,0.028333333333333332,0.86,,
COLLECT_SRA_QUERY,1,1.0,1.0,1.0,28,0.05083333333333333,0.9049999999999999,2.1333333333333333,19.672131147540984,-1867.2131147540983
FUNANNOTATE_PREDICT,0,,,,1345,166.21666666666667,428.1166666666667,1068.55,,
FUNANNOTATE_TRAIN,627,11.1,39.86666666666667,61.56666666666667,5828,45.791666666666664,205.5,1437.0,0.24240218380345768,75.75978161965423
GENEMARK_RUN,80,13.283333333333333,18.366666666666667,61.166666666666664,0,,,,,
GENOME_CLEAN_BATCH,0,,,,7,21.216666666666665,292.4,292.4,,
MASKREPEAT_TANTAN_RUN,0,,,,700,0.5983333333333333,1.1166666666666667,2.1666666666666665,,
RNASEQ_PREPARE,20,305.44166666666666,617.2,715.3166666666667,522,392.425,1086.3666666666666,1437.55,0.7783440572508548,22.165594274914525
SETUP_TAXONDB,0,,,,1,0.21833333333333332,0.21833333333333332,0.21833333333333332,,
SRA_FETCH,0,,,,98,21.65,44.55,64.58333333333333,,
SRA_FETCH_SE,0,,,,11,12.266666666666667,15.883333333333333,22.2,,
SRA_QUERY_BATCH,717,0.04666666666666666,0.075,0.22833333333333333,3285,0.13833333333333334,1.7,11.933333333333334,0.3373493975903614,66.26506024096386
WRITE_EMPTY_READS,0,,,,2316,0.08083333333333333,0.21,1.1166666666666667,,
