query_asmid	query_species_in	rank	ref_asmid	ref_species	ref_genus	ref_family	ref_order	ref_class	ref_subclass	ref_phylum	ref_subphylum	ani_pct	mash_pval	shared_hashes	significant
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	1	GCA_038091315.1_MICH12342-Tylopilus-cyaneotinctus	Porphyrellus cyaneotinctus	Porphyrellus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		82.3748	0	125/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	2	GCA_041722795.1_BD716-Tylopilus-sp	Tylopilus sp. UT-M0000054	Tylopilus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		80.1512	5.30309e-216	78/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	3	GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367		Boletaceae	Boletales	Agaricomycetes		Basidiomycota		79.7067	7.0068e-193	71/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	4	GCA_041722655.1_BD845-Porphyrellus-aff-excedens	Porphyrellus sp. aff. excedens UT-M0000382	Porphyrellus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		79.4325	2.79288e-178	67/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	5	GCA_038090955.1_MICH4995-Boletellus-intermedius	Xerocomellus intermedius	Xerocomellus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		78.1407	1.28109e-134	51/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	6	GCA_038094095.1_BD921Chile-Boletus-putidus	Boletus putidus	Boletus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		78.0469	9.30757e-131	50/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	7	GCA_038090735.1_MICH5365-Porphyrellus-amylosporus	Xerocomellus amylosporus	Xerocomellus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		77.8534	1.54114e-122	48/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	8	GCA_038090535.1_NY1034447-Tylopilus-alboater	Tylopilus alboater	Tylopilus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		77.5475	1.53079e-111	45/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	9	GCA_015039435.1_Xerba1	Imleria badia	Imleria	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		77.3320	2.25021e-108	43/10000	True
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	10	GCA_038089655.1_NY796215-Imleria-badia	Imleria badia	Imleria	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		77.3320	3.62628e-108	43/10000	True
