out	species	is_representative	representative_out	ani_to_representative	reuse_eligible
Abortiporus_biennis_CIRM-BRFM_1778	Abortiporus biennis	False	Abortiporus_biennis_LGAM_436	98.78	False
Abortiporus_biennis_LGAM_436	Abortiporus biennis	True	Abortiporus_biennis_LGAM_436	100.0	False
Acarospora_aff._strigata	Acarospora aff. strigata	True	Acarospora_aff._strigata	100.0	False
Acarospora_aff._strigata_T1882	Acarospora aff. strigata	False	Acarospora_aff._strigata	99.97	True
Acidomyces_sp._richmondensis_BFW	Acidomyces sp. richmondensis	False	Acidomyces_sp._richmondensis_FRIK2901	99.77	True
Acidomyces_sp._richmondensis_FRIK2901	Acidomyces sp. richmondensis	True	Acidomyces_sp._richmondensis_FRIK2901	100.0	False
Acidomyces_sp._richmondensis_meta	Acidomyces sp. richmondensis	False	Acidomyces_sp._richmondensis_FRIK2901	99.83	True
Acrocalymma_vagum_A21	Acrocalymma vagum	False	Acrocalymma_vagum_DSE3081	95.35	False
Acrocalymma_vagum_DSE3081	Acrocalymma vagum	True	Acrocalymma_vagum_DSE3081	100.0	False
Actinomortierella_ambigua_BC1065	Actinomortierella ambigua	True	Actinomortierella_ambigua_BC1065	100.0	False
Actinomortierella_ambigua_BC1291	Actinomortierella ambigua	False	Actinomortierella_ambigua_BC1065	97.5	False
Actinomortierella_ambigua_NRRL_28271	Actinomortierella ambigua	False	Actinomortierella_ambigua_BC1065		False
Actinomortierella_wolfii_NRRL_6351	Actinomortierella wolfii	True	Actinomortierella_wolfii_NRRL_6351	100.0	False
Actinomortierella_wolfii_NRRL_66265	Actinomortierella wolfii	False	Actinomortierella_wolfii_NRRL_6351	96.54	False
Actinomucor_elegans_CJ-6	Actinomucor elegans	False	Actinomucor_elegans_JCM_22485	99.98	True
Actinomucor_elegans_JCM_22485	Actinomucor elegans	True	Actinomucor_elegans_JCM_22485	100.0	False
Agaricus_bisporus	Agaricus bisporus	False	Agaricus_bisporus_A10_9	98.75	False
Agaricus_bisporus_A10_9	Agaricus bisporus	True	Agaricus_bisporus_A10_9	100.0	False
Agaricus_bisporus_A13-20	Agaricus bisporus	False	Agaricus_bisporus_A10_9	98.1	False
Agaricus_bisporus_A33_49	Agaricus bisporus	False	Agaricus_bisporus_A10_9	99.98	True
Agaricus_bisporus_A33_62	Agaricus bisporus	False	Agaricus_bisporus_A10_9	99.23	True
Agaricus_bisporus_A58_19	Agaricus bisporus	False	Agaricus_bisporus_A10_9	97.08	False
Agaricus_bisporus_A7_31	Agaricus bisporus	False	Agaricus_bisporus_A10_9	98.06	False
Agaricus_bisporus_AB58	Agaricus bisporus	False	Agaricus_bisporus_A10_9	97.1	False
Agaricus_bisporus_AB7	Agaricus bisporus	False	Agaricus_bisporus_A10_9	98.02	False
Agaricus_bisporus_ARP23	Agaricus bisporus	False	Agaricus_bisporus_A10_9	97.49	False
Agaricus_bisporus_H119_p4	Agaricus bisporus	False	Agaricus_bisporus_A10_9	96.9	False
Agaricus_bisporus_H39	Agaricus bisporus	False	Agaricus_bisporus_A10_9	98.26	False
Agaricus_bisporus_H97	Agaricus bisporus	False	Agaricus_bisporus_A10_9	99.09	True
Agaricus_bisporus_JB137-s8	Agaricus bisporus	False	Agaricus_bisporus_A10_9	97.02	False
Agaricus_bisporus_KMCC00540	Agaricus bisporus	False	Agaricus_bisporus_A10_9	98.06	False
Agroathelia_rolfsii_CCF1	Agroathelia rolfsii	False	Agroathelia_rolfsii_MR10	97.08	False
Agroathelia_rolfsii_GP3	Agroathelia rolfsii	False	Agroathelia_rolfsii_MR10	98.72	False
Agroathelia_rolfsii_LC-1	Agroathelia rolfsii	False	Agroathelia_rolfsii_MR10	85.94	False
Agroathelia_rolfsii_MR10	Agroathelia rolfsii	True	Agroathelia_rolfsii_MR10	100.0	False
Agroathelia_rolfsii_Sr-RCBB	Agroathelia rolfsii	False	Agroathelia_rolfsii_MR10	97.45	False
Agroathelia_rolfsii_ZY	Agroathelia rolfsii	False	Agroathelia_rolfsii_MR10	99.07	True
Agrocybe_pediades_AH_40210	Agrocybe pediades	False	Agrocybe_pediades_CBS_102.39	97.22	False
Agrocybe_pediades_CBS_102.39	Agrocybe pediades	True	Agrocybe_pediades_CBS_102.39	100.0	False
Agrocybe_pediades_ZRL20220683_2	Agrocybe pediades	False	Agrocybe_pediades_CBS_102.39	94.15	False
Akanthomyces_dipterigenus_MBC_259	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	98.87	False
Akanthomyces_dipterigenus_MBC_561	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.97	True
Akanthomyces_dipterigenus_MBC_608	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.98	True
Akanthomyces_dipterigenus_MBC_628	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.99	True
Akanthomyces_dipterigenus_MBC_678	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.99	True
Akanthomyces_dipterigenus_MBC_685	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.76	True
Akanthomyces_dipterigenus_MBC_690	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.97	True
Akanthomyces_dipterigenus_MBC_691	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.97	True
Akanthomyces_dipterigenus_MBC_701	Akanthomyces dipterigenus	True	Akanthomyces_dipterigenus_MBC_701	100.0	False
Akanthomyces_dipterigenus_MBC_708	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.99	True
Akanthomyces_dipterigenus_MBC_741	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701	99.97	True
Akanthomyces_dipterigenus_MUC9702	Akanthomyces dipterigenus	False	Akanthomyces_dipterigenus_MBC_701		False
Akanthomyces_lecanii_CJL01	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	95.7	False
Akanthomyces_lecanii_DSM_111009	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	87.14	False
Akanthomyces_lecanii_MBC_123	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	95.85	False
Akanthomyces_lecanii_MBC_153	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	97.95	False
Akanthomyces_lecanii_MBC_159	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	97.92	False
Akanthomyces_lecanii_MBC_542	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	97.98	False
Akanthomyces_lecanii_MBC_603	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	98.01	False
Akanthomyces_lecanii_MBC_729	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	99.12	True
Akanthomyces_lecanii_MBC_801	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	98.09	False
Akanthomyces_lecanii_MBC_901	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	98.09	False
Akanthomyces_lecanii_MUC8115	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	97.89	False
Akanthomyces_lecanii_RCEF_1005	Akanthomyces lecanii	True	Akanthomyces_lecanii_RCEF_1005	100.0	False
Akanthomyces_lecanii_UM487	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	86.85	False
Akanthomyces_lecanii_V198499	Akanthomyces lecanii	False	Akanthomyces_lecanii_RCEF_1005	85.88	False
Akanthomyces_muscarius_AC3	Akanthomyces muscarius	True	Akanthomyces_muscarius_AC3	100.0	False
Akanthomyces_muscarius_DSM_3411	Akanthomyces muscarius	False	Akanthomyces_muscarius_AC3	88.53	False
Akanthomyces_muscarius_MUC9713	Akanthomyces muscarius	False	Akanthomyces_muscarius_AC3	88.49	False
Akanthomyces_muscarius_Ve6	Akanthomyces muscarius	False	Akanthomyces_muscarius_AC3	88.45	False
Akanthomyces_uredinophilus_MBC_350	Akanthomyces uredinophilus	True	Akanthomyces_uredinophilus_MBC_350	100.0	False
Akanthomyces_uredinophilus_MBC_695	Akanthomyces uredinophilus	False	Akanthomyces_uredinophilus_MBC_350	93.81	False
Albifimbria_verrucaria_DSM_2087	Albifimbria verrucaria	False	Albifimbria_verrucaria_IMI_368023	96.8	False
Albifimbria_verrucaria_IMI_368023	Albifimbria verrucaria	True	Albifimbria_verrucaria_IMI_368023	100.0	False
Albifimbria_verrucaria_Mv01	Albifimbria verrucaria	False	Albifimbria_verrucaria_IMI_368023	98.07	False
Albophoma_yamanashiensis_EHU_M98	Albophoma yamanashiensis	True	Albophoma_yamanashiensis_EHU_M98	100.0	False
Albophoma_yamanashiensis_JCM_11844	Albophoma yamanashiensis	False	Albophoma_yamanashiensis_EHU_M98	98.05	False
Alectoria_sarmentosa	Alectoria sarmentosa	True	Alectoria_sarmentosa	100.0	False
Alectoria_sarmentosa_MAF-Lich_21536	Alectoria sarmentosa	False	Alectoria_sarmentosa	96.79	False
Alloascoidea_hylecoeti_JCM_7604	Alloascoidea hylecoeti	True	Alloascoidea_hylecoeti_JCM_7604	100.0	False
Alloascoidea_hylecoeti_NRRL_Y-17634	Alloascoidea hylecoeti	False	Alloascoidea_hylecoeti_JCM_7604	99.83	True
Alternaria_alstroemeriae_L6	Alternaria alstroemeriae	True	Alternaria_alstroemeriae_L6	100.0	False
Alternaria_alstroemeriae_LH_A124	Alternaria alstroemeriae	False	Alternaria_alstroemeriae_L6		False
Alternaria_alternata_22A	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.09	False
Alternaria_alternata_24A	Alternaria alternata	False	Alternaria_alternata_KAS6096	85.48	False
Alternaria_alternata_29C	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_47A	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_AEH-2221	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_AEH-2368	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_AEH-2430	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_AEH-2437	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_AEH-3014	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_AEH-3049	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_ATCC_34957	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_ATCC_66981	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Altal1	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_B2a	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_B3	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_BC2-RLR-17S	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_C11	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.87	False
Alternaria_alternata_C14	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.15	False
Alternaria_alternata_C19	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_C20	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_C21	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.15	False
Alternaria_alternata_C22	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_C24	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_C25	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_C4	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.83	False
Alternaria_alternata_C5	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_C6	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_CS013	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS017	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS026	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.63	False
Alternaria_alternata_CS038	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS057	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.78	False
Alternaria_alternata_CS085	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS091	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS092	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_CS106	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS126	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS133	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.63	False
Alternaria_alternata_CS134	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS139	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.63	False
Alternaria_alternata_CS152	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.78	False
Alternaria_alternata_CS185	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.78	False
Alternaria_alternata_CS311	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_CS313	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_CS314	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.85	False
Alternaria_alternata_CS330	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS339	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS371	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_CS403	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.78	False
Alternaria_alternata_D3	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_D4	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_DET2001	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_DET2010	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_DET2019	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_DZ	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.82	False
Alternaria_alternata_EC252	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_EC300	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_EC344	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_EC5	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_EC7	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_EC724	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_EC730	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_EC783	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.87	False
Alternaria_alternata_EC86	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.09	False
Alternaria_alternata_EGS_44-110	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_EGS_44-159	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_EOD115	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_EV-MIL-31	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.33	False
Alternaria_alternata_Eth.006.2.Aa	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_FERA_1177	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_H1	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_H10	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_H11	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
