query_asmid	query_species_in	sketch_status	n_hits_reported	n_significant_hits	best_ani_pct	best_ref_asmid	best_ref_genus	needs_review
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030	built	10	10	82.3748	GCA_038091315.1_MICH12342-Tylopilus-cyaneotinctus	Porphyrellus	False
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	built	10	10	81.9413	GCA_041722655.1_BD845-Porphyrellus-aff-excedens	Porphyrellus	False
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	built	10	10	67.9713	GCA_037041595.1_ASM3704159v1	Lodderomyces	False
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	built	10	10	98.2810	GCA_985568015.1_idNerComm1.microsporidian_1.1		False
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	built	10	10	98.2810	GCA_985805875.1_idMegDoli1.microsporidian_1.1		False
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	built	10	10	96.7510	GCA_985805875.1_idMegDoli1.microsporidian_1.1		False
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	built	10	10	70.8553	GCA_027248365.1_ASM2724836v1	Piromyces	False
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	built	10	10	98.6061	GCA_985568025.1_idDelPlat5.microsporidian_1.1_alternate_haplotypes		False
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	built	10	10	99.4903	GCA_985568115.1_idDelPlat4.microsporidian_1.1		False
GCA_985568115.1_idDelPlat4.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000475	built	10	10	99.4903	GCA_985568205.1_idTanUsma1.microsporidian_1.1		False
GCA_985809255.1_idLucSpea1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000477	built	10	10	99.3745	GCA_985568205.1_idTanUsma1.microsporidian_1.1		False
GCA_985568025.1_idDelPlat5.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000478	built	10	10	98.6206	GCA_985568205.1_idTanUsma1.microsporidian_1.1		False
GCA_985568195.1_iiMysAzur1.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU8 NHMUK014451618	built	10	10	73.6978	GCA_037055185.1_ASM3705518v1	Capillidium	False
GCA_985568005.1_idChiSpeb1.microsporidian_1.1	Amblyosporidae sp. gmOTU9 SAN22000474	built	10	10	77.7536	GCA_027248705.1_ASM2724870v1	Neocallimastix	False
GCA_964257325.1_public_SRR14721982_metabat2_bin.3	Arthoniomycetes sp.	built	10	10	68.7048	GCA_000222955.2_AciTa_1.0	Epichloe	False
GCA_049996255.1_ASM4999625v1	Arthoniomycetes sp. BF10	built	10	10	69.3402	GCA_020631695.1_ASM2063169v1	Trichoderma	False
GCA_029297955.1_ASM2929795v1	Ascomycota sp.	existing	10	10	94.9255	GCA_964257155.1_public_SRR11456918_metabat2_merged.0	Peltigera	False
GCA_029295915.1_ASM2929591v1	Ascomycota sp.	existing	10	10	98.9177	GCA_022661205.1_E_lata_WV-1	Eutypa	False
GCA_029294875.1_ASM2929487v1	Ascomycota sp.	existing	10	10	99.2422	GCA_001006365.1_UCDDA912v1.0	Diaporthe	False
GCA_029293645.1_ASM2929364v1	Ascomycota sp.	existing	10	10	89.7732	GCA_029293605.1_ASM2929360v1		False
GCA_029302335.1_ASM2930233v1	Ascomycota sp.	existing	10	10	82.9074	GCA_029302105.1_ASM2930210v1		False
GCA_029302195.1_ASM2930219v1	Ascomycota sp.	existing	10	10	66.0414	GCA_030789025.1_ASM3078902v1	Arthroderma	False
GCA_029302095.1_ASM2930209v1	Ascomycota sp.	existing	10	10	67.9713	GCA_043230705.1_ASM4323070v1	Aureobasidium	False
GCA_029302105.1_ASM2930210v1	Ascomycota sp.	existing	10	10	82.9074	GCA_029302335.1_ASM2930233v1		False
GCA_029300655.1_ASM2930065v1	Ascomycota sp.	existing	10	10	99.9383	GCA_964254685.1_public_SRR1531517_concoct_bin.16	Dibaeis	False
GCA_029300615.1_ASM2930061v1	Ascomycota sp.	existing	10	10	99.4461	GCA_964255575.1_public_SRR1531545_concoct_bin.10	Leptogium	False
GCA_029300415.1_ASM2930041v1	Ascomycota sp.	existing	10	10	99.7898	GCA_964256975.1_public_SRR1531569_concoct_bin.26	Peltula	False
GCA_029300195.1_ASM2930019v1	Ascomycota sp.	existing	10	10	98.6543	GCA_964256995.1_public_SRR1532736_concoct_bin.13	Physcia	False
GCA_029303315.1_ASM2930331v1	Ascomycota sp.	existing	10	10	99.5304	GCA_023627875.1_ASM2362787v1	Geotrichum	False
GCA_029300035.1_ASM2930003v1	Ascomycota sp.	existing	10	10	97.9766	GCA_937873075.1_SRR1562005_bin.67_CONCOCT_v1.1_MAG		False
